[CoreLog] Finished initialisation of engine
[Log] Main ID: 1222155269
[Log] Closing file Config/Engine.ini
[ThreadingLog] Starting Task with ID 0
[Log] Closing file Config/Engine.ini
[Log] Elapsed Seconds 1
[ShaderLog] 131218: PERFORMANCE of MEDIUM severity, raised from API: Program/shader state performance warning: Vertex shader in program 3 is being recompiled based on GL state.
[Log] Elapsed Seconds 5
[Log] Elapsed Seconds 4
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 13
[Log] Elapsed Seconds 14
